vector,label
"[ 0.0502347  -0.04098148  0.5788848   0.04575046  0.2820149  -0.06438147
  0.29366815  0.66348577 -0.42372257 -0.1299411   0.6221373   0.13075064
  0.34218436 -0.13054058  0.46014827  0.03385976  1.1890675  -0.382474
 -0.46944678 -0.6247867 ]",1
"[ 0.0186353   0.0642143   0.5641255   0.03846102  0.2992915  -0.10045554
  0.26200697  0.6677346  -0.41911992 -0.05686779  0.6032268   0.06400209
  0.3038258  -0.17198084  0.34872225  0.06850096  1.2035341  -0.4031667
 -0.47015056 -0.6440843 ]",0
"[-0.16844127 -0.1317725   0.62324876 -0.08920424  0.11407803 -0.15411113
  0.2794659   0.67437166 -0.55990076 -0.00153067  0.8475581  -0.10551578
  0.3056834  -0.28849497  0.25233352  0.21385476  1.2789948  -0.29420367
 -0.43401542 -0.66233146]",0
"[ 0.19454657  0.06338999  0.6218705   0.03429542  0.28832382 -0.05101883
  0.22908448  0.55885535 -0.4256725   0.0145815   0.5359847   0.17381653
  0.4145242  -0.07910586  0.48366255  0.06492632  0.98242307 -0.41180998
 -0.40889195 -0.6763428 ]",0
"[-7.6278418e-02  5.5978342e-04  6.0776848e-01  4.1901004e-02
  1.8893656e-01 -7.4205644e-02  3.1007069e-01  7.6512307e-01
 -5.3673685e-01 -1.1825840e-01  7.2120649e-01  5.3793348e-02
  2.7179942e-01 -1.8070450e-01  2.7238059e-01  2.4621870e-01
  1.2633733e+00 -2.6928228e-01 -4.0324670e-01 -6.0034239e-01]",0
"[-0.0614446  -0.10106803  0.6671398  -0.0688071   0.0747729  -0.19624148
  0.2972458   0.5456579  -0.544305    0.0407067   0.731126   -0.02111525
  0.351185   -0.25206733  0.35202807  0.20683162  1.266193   -0.2709848
 -0.51822317 -0.6207574 ]",1
"[-0.05853423 -0.05232625  0.6805683   0.01104405  0.17604986 -0.12928969
  0.2313385   0.678809   -0.52048427 -0.07877778  0.6489388   0.11862927
  0.34772974 -0.15042758  0.3861811   0.1155295   1.2383044  -0.3072046
 -0.44361573 -0.54443365]",1
"[-0.05410856 -0.05789964  0.70216876  0.02336667  0.19309545 -0.1095816
  0.10217723  0.6597821  -0.4591935  -0.08070828  0.606271    0.11289597
  0.42319417 -0.19904049  0.42816153  0.16588344  1.2299311  -0.31861606
 -0.42573306 -0.50297415]",1
"[ 0.00893561 -0.05139148  0.67457366 -0.07362963  0.24079339 -0.12403259
  0.15080412  0.7057052  -0.38595268 -0.05820213  0.5901526   0.17814007
  0.3815647  -0.12079325  0.3141851   0.04239174  1.1467073  -0.32820773
 -0.40715167 -0.57995135]",1
"[-0.01598742  0.03525308  0.616156   -0.04974725  0.29950532 -0.1096461
  0.23484848  0.6309092  -0.39080724 -0.00125246  0.627275    0.136458
  0.36356902 -0.14461167  0.33035415  0.1405383   1.1600196  -0.30704576
 -0.46231353 -0.6149454 ]",1
"[ 0.05602348 -0.00383944  0.7126684   0.10189193  0.23746675 -0.15272708
  0.30252025  0.6516563  -0.5139549   0.01799512  0.5425897   0.11072203
  0.35714447 -0.13112937  0.4482111   0.13345695  1.2113749  -0.3185172
 -0.34529412 -0.5974801 ]",1
"[-0.05195029  0.02705616  0.6986808   0.06934277  0.24143596 -0.05882908
  0.2800017   0.8045703  -0.44725844 -0.08673422  0.60928154  0.1475133
  0.24214157 -0.11497886  0.3114721   0.10029586  1.1536579  -0.35991013
 -0.34556782 -0.5816469 ]",0
"[-0.0514822   0.00365443  0.691175   -0.02599611  0.13407323 -0.19133481
  0.22874181  0.5462468  -0.5827335  -0.14726534  0.7525377   0.0806438
  0.35774148 -0.24868108  0.42459643  0.19354571  1.2918724  -0.23573814
 -0.4847926  -0.588095  ]",1
"[-0.11240628 -0.06114852  0.5682699  -0.02355234  0.18524264 -0.13664234
  0.3258974   0.54206234 -0.64431745 -0.10683388  0.76619273 -0.02535418
  0.4447878  -0.2680937   0.36867523  0.35313538  1.3891604  -0.1623644
 -0.60186267 -0.6112697 ]",1
"[-0.03029006  0.01567277  0.7410327   0.02611737  0.20927219 -0.09739259
  0.16029976  0.7956988  -0.4616018  -0.01476329  0.6045804   0.21970806
  0.3275824  -0.18259338  0.3352288   0.02184268  1.1449878  -0.30973792
 -0.38051483 -0.5323062 ]",1
"[-0.1323596  -0.05068671  0.6185171  -0.0032488   0.15418836 -0.14983802
  0.37609306  0.59432715 -0.55213916 -0.05306032  0.7721955  -0.06715018
  0.30087435 -0.22476682  0.3468436   0.24567543  1.2939277  -0.2579618
 -0.46302292 -0.68583715]",0
"[-0.18836223  0.0354778   0.5964557   0.10638407  0.14188178 -0.08231152
  0.28758547  0.6347212  -0.49383298 -0.06329831  0.7327237   0.0513553
  0.28616923 -0.21425939  0.3868452   0.19012453  1.3304666  -0.23221256
 -0.36976287 -0.6363809 ]",0
"[-0.13120617  0.0725156   0.64728266  0.05326192  0.23967542 -0.10974572
  0.23784643  0.6492705  -0.59651357 -0.0812409   0.7898195  -0.01186225
  0.2919928  -0.3256324   0.3193266   0.14099008  1.330211   -0.26107654
 -0.44348848 -0.5965275 ]",0
"[-0.06688005 -0.03779813  0.6756262  -0.10318007  0.23191363 -0.12122757
  0.14437264  0.6639295  -0.4680973  -0.03818119  0.72227395  0.10692373
  0.3175026  -0.21886459  0.30623415  0.1761332   1.2070807  -0.23595126
 -0.3911673  -0.6211231 ]",1
"[-0.12052257 -0.1190349   0.6323248  -0.08360165  0.1856558  -0.17996745
  0.23076193  0.6619888  -0.4870912   0.05359817  0.7505606  -0.02344233
  0.23265271 -0.20007794  0.25103873  0.22326815  1.206218   -0.286599
 -0.38844237 -0.65804166]",1
"[-0.03720439 -0.05888876  0.5807325   0.09664056  0.25029883 -0.05118651
  0.3041006   0.79271275 -0.49796143 -0.1615861   0.6529051   0.05222316
  0.2822446  -0.14009205  0.27810013  0.18284707  1.23245    -0.38258883
 -0.3993838  -0.58966136]",1
"[-0.23217155 -0.04666436  0.63276917  0.16244109  0.1926637  -0.11169836
  0.376063    0.7327747  -0.52852416 -0.07110137  0.629343   -0.02631539
  0.33194253 -0.14999895  0.31355175  0.14207786  1.365511   -0.33883935
 -0.4418589  -0.6180339 ]",0
"[-0.01046826 -0.0813684   0.7336927  -0.01728975  0.15015785 -0.25679815
  0.37690675  0.60187227 -0.54652154  0.01567924  0.6302181   0.01322458
  0.36458513 -0.17171535  0.35049745  0.13675153  1.2517692  -0.27604574
 -0.47733352 -0.6572939 ]",0
"[-1.0999753e-01 -5.9501410e-02  6.2017447e-01  1.1970320e-02
  2.9205292e-01 -6.2403906e-02  1.3378729e-01  5.8627880e-01
 -4.4028088e-01 -7.7458135e-05  7.6365024e-01  1.3226746e-01
  2.9453066e-01 -1.2910528e-01  4.0651894e-01  1.6346306e-01
  1.1969377e+00 -2.1419507e-01 -3.7912300e-01 -6.1192799e-01]",0
"[-0.0824396  -0.00564444  0.65494204  0.08374216  0.09189224 -0.10772581
  0.20354028  0.63416046 -0.61705244 -0.13959365  0.74161357 -0.0122471
  0.30532306 -0.2201463   0.37944904  0.17564143  1.3171875  -0.29823783
 -0.40491736 -0.6077774 ]",0
"[-0.07872956 -0.10668793  0.6217466   0.01351124  0.19839165 -0.10434764
  0.24856667  0.65646315 -0.5275473  -0.07140363  0.7043503  -0.03664977
  0.39410862 -0.1674575   0.37256953  0.18005398  1.2801265  -0.3209215
 -0.44335485 -0.5850656 ]",0
"[-0.11384355 -0.04733532  0.63068426  0.02659274  0.20382203 -0.11934777
  0.23459154  0.613461   -0.45731497  0.00920283  0.7158398   0.03647149
  0.33029395 -0.17326625  0.34111738  0.17350475  1.2519207  -0.23884945
 -0.45392603 -0.6594748 ]",1
"[-0.02124383 -0.09299175  0.72835183 -0.07117579  0.09729323 -0.14729446
  0.13820536  0.6904319  -0.44702342 -0.00215525  0.6953993   0.14467812
  0.2567898  -0.19167884  0.32747638  0.14965156  1.1107281  -0.30499324
 -0.3659087  -0.5440339 ]",1
"[-0.07227071 -0.0301751   0.6405974  -0.03676517  0.17946884 -0.17017692
  0.31029823  0.6513085  -0.5356442  -0.08947947  0.7509686   0.13148065
  0.28766894 -0.19583791  0.2977764   0.24276924  1.2792448  -0.18718338
 -0.4532572  -0.6426613 ]",1
"[ 0.11575531 -0.00262293  0.66155344 -0.11583652  0.20701462 -0.15221533
  0.12992868  0.58152574 -0.443866   -0.07863394  0.64219624  0.23902586
  0.36216474 -0.17495257  0.4447877   0.0868929   1.0952876  -0.30184403
 -0.4299762  -0.58373606]",0
"[ 0.0082518  -0.02275457  0.63458425 -0.03655918  0.24553663 -0.11532398
  0.17516911  0.659493   -0.43810084 -0.08095704  0.6027644   0.11262966
  0.37059698 -0.16875975  0.34334466  0.07942735  1.1981609  -0.34864488
 -0.45035896 -0.603944  ]",1
"[-0.06770211  0.08093674  0.69619006  0.06296443  0.21998043 -0.05643826
  0.2531514   0.74034435 -0.602457   -0.11575162  0.73047787  0.06241846
  0.31842735 -0.22445792  0.2871159   0.1630122   1.2070045  -0.26958698
 -0.46012965 -0.5700998 ]",1
"[-0.0635096   0.07084639  0.59764045  0.0563953   0.3105879  -0.11236902
  0.3863776   0.68229914 -0.46820623 -0.15250564  0.6814373   0.11013383
  0.33294743 -0.18780196  0.26736233  0.15229063  1.3053539  -0.20786312
 -0.4430224  -0.69069123]",1
"[-0.04025849 -0.04968504  0.5946792  -0.0172267   0.2558416  -0.12727484
  0.2433773   0.6237891  -0.37477845  0.05292729  0.6967859   0.01958983
  0.28155857 -0.14656581  0.3272731   0.1087006   1.1620258  -0.34778765
 -0.36848715 -0.6987733 ]",0
"[ 0.05676745 -0.0831945   0.68963546 -0.06492791  0.2250144  -0.1540089
  0.14936753  0.52035594 -0.4467621  -0.06075397  0.601743    0.06681024
  0.43144864 -0.1620566   0.49395636  0.09671338  1.1579425  -0.37178037
 -0.48349127 -0.555271  ]",1
"[-0.06164541 -0.0449188   0.6889936  -0.05380853  0.23748828 -0.21347801
  0.2009643   0.6691889  -0.4442512  -0.15224697  0.7144927   0.12520158
  0.2889062  -0.1959845   0.3382492   0.22460136  1.2743026  -0.20110685
 -0.381068   -0.5850026 ]",0
"[-0.05586205  0.03244818  0.64371157  0.04456763  0.24326503 -0.03360885
  0.3027273   0.64924437 -0.5477948  -0.07141826  0.67822695  0.10435016
  0.35916469 -0.1961051   0.3542732   0.19439209  1.2253237  -0.25485873
 -0.4186874  -0.63320607]",1
"[-0.2165219  -0.08051898  0.6426112  -0.03683183  0.27259228 -0.14192556
  0.24086922  0.7391088  -0.50333905 -0.00176805  0.77562094 -0.02599286
  0.2586977  -0.18007009  0.19402085  0.12159787  1.2725496  -0.3126234
 -0.39653552 -0.6531921 ]",0
"[-0.21512869  0.06079966  0.6060989   0.04822715  0.35994756 -0.08912402
  0.31377923  0.6525759  -0.47980192 -0.11000048  0.6781717   0.07520603
  0.3311973  -0.1538322   0.25873944  0.18617196  1.3702368  -0.23981318
 -0.36831787 -0.6660555 ]",0
"[-0.1021356  -0.05336382  0.69639283 -0.0349306   0.10747503 -0.1311014
  0.23270097  0.6551218  -0.5348349  -0.02448416  0.7240287   0.05416198
  0.29655308 -0.23811112  0.38821143  0.15367281  1.1891736  -0.32455856
 -0.38638818 -0.5886781 ]",0
"[-0.08858446 -0.03818196  0.6164491   0.0599061   0.3083255  -0.02000521
  0.20043643  0.64489365 -0.53544044 -0.14472492  0.6073356   0.10279813
  0.47074097 -0.13961093  0.3789282   0.20708092  1.3056853  -0.2852668
 -0.5013525  -0.53507304]",1
"[-0.1040661  -0.02958377  0.5980389   0.09287968  0.256284   -0.11842299
  0.33573025  0.63702214 -0.5457445  -0.04844946  0.7625814  -0.02777447
  0.35205752 -0.15971485  0.3186075   0.12015358  1.2892762  -0.32525143
 -0.42986268 -0.6733741 ]",1
"[ 1.66133475e-02 -8.84967973e-04  7.06039548e-01  2.30017062e-02
  2.42397293e-01 -1.01422645e-01  1.85215145e-01  6.29612207e-01
 -4.27920610e-01 -6.43611327e-02  6.13421857e-01  1.55526206e-01
  3.57707918e-01 -1.49538159e-01  4.15813327e-01  9.86919478e-02
  1.17680931e+00 -3.12391967e-01 -3.91296059e-01 -5.87536812e-01]",1
"[-0.11970584  0.07759862  0.59330094  0.14429332  0.23606448 -0.09917296
  0.2662494   0.5333942  -0.55339503 -0.06855328  0.70990753 -0.02865979
  0.30676275 -0.24473682  0.35873753  0.20260412  1.3101594  -0.3187172
 -0.44519952 -0.6523494 ]",0
"[ 0.06773461  0.07671496  0.6847083   0.00884393  0.32639804 -0.20439093
  0.27710494  0.7213813  -0.37890327 -0.12579247  0.6297703   0.13572276
  0.32682306 -0.17280199  0.28501454  0.08083808  1.1894011  -0.2639528
 -0.39470452 -0.6074252 ]",1
"[-0.16214463  0.06465369  0.5875131   0.15067463  0.17276934 -0.02871548
  0.26492834  0.74783283 -0.5532521  -0.13103788  0.75057524  0.00168794
  0.29298037 -0.21063976  0.29892203  0.18503466  1.3252965  -0.2893617
 -0.41732648 -0.5922726 ]",0
"[-0.03138364 -0.03362664  0.6715853  -0.04239001  0.1417879  -0.13196425
  0.20599495  0.68124217 -0.4459551  -0.0748749   0.6461012   0.14791614
  0.3450388  -0.15065718  0.3344099   0.18986423  1.2270684  -0.24934
 -0.4039744  -0.54042256]",0
"[-0.07032753 -0.11117812  0.62469685  0.03121612  0.12373467 -0.17657748
  0.3222792   0.55057675 -0.48799476 -0.04443734  0.67562366  0.07478037
  0.30367675 -0.2144524   0.46285945  0.2534864   1.2653288  -0.22580467
 -0.49335092 -0.5730135 ]",0
"[-0.03255343 -0.02713049  0.65211564  0.05242599  0.23505203 -0.11040427
  0.25280342  0.60772157 -0.5322237  -0.18384048  0.67751384  0.07525031
  0.39890507 -0.17099583  0.4059802   0.16121966  1.296955   -0.3050101
 -0.438101   -0.5712315 ]",0
"[-0.01006436 -0.03184628  0.59671766  0.05984029  0.25554678 -0.06831878
  0.22297284  0.49746358 -0.51285684 -0.10817677  0.70128894  0.0731194
  0.40246022 -0.22376949  0.42124802  0.15358937  1.2923579  -0.24172226
 -0.47858393 -0.6634559 ]",1
"[-0.01989361 -0.04219803  0.59209263  0.03030523  0.35367525 -0.15804546
  0.38402283  0.55246866 -0.3691145  -0.05099069  0.64626485  0.09095176
  0.45255175 -0.09701201  0.36856094  0.12438525  1.3103436  -0.21384934
 -0.50024194 -0.7131771 ]",1
"[-0.03696449 -0.03358081  0.642667   -0.03647299  0.18563356 -0.11894706
  0.290003    0.54444003 -0.538223    0.01106678  0.6978921   0.05541553
  0.36376718 -0.19855724  0.390259    0.20464705  1.203552   -0.26220247
 -0.49170265 -0.6291913 ]",1
"[ 0.08741111 -0.07291792  0.75416493 -0.03133986  0.177877   -0.16037962
  0.14132738  0.5821586  -0.41245413 -0.13811165  0.6336232   0.24278988
  0.37196866 -0.19451404  0.4931098   0.02624096  1.1575449  -0.3216754
 -0.43343943 -0.5760914 ]",1
"[-0.13794413 -0.00440517  0.66118103  0.08356521  0.20870364 -0.17545007
  0.2921229   0.6238025  -0.45647463  0.03273651  0.664015   -0.0629131
  0.36599886 -0.2142661   0.33531955  0.20812835  1.3634459  -0.23192172
 -0.46151432 -0.5819677 ]",0
"[-0.12216568  0.06514142  0.5497314  -0.02024377  0.27946806 -0.05985361
  0.30430582  0.6067922  -0.518541   -0.09021057  0.79282075  0.05269642
  0.3167092  -0.24688464  0.28579247  0.22476211  1.2990607  -0.19892743
 -0.42082816 -0.6863787 ]",1
"[-2.56676285e-04  1.20267175e-01  5.83353221e-01 -1.57739341e-01
  3.10716867e-01 -1.55828238e-01  2.83192307e-01  5.97269297e-01
 -5.27151644e-01 -1.87147558e-01  8.42066884e-01  8.34177732e-02
  3.65868270e-01 -2.67010063e-01  2.82141447e-01  1.98750034e-01
  1.29212046e+00 -9.98521000e-02 -4.92711544e-01 -7.61305451e-01]",1
"[-0.02617923 -0.06310464  0.6246439  -0.01319809  0.18389992 -0.08736402
  0.2402675   0.5933971  -0.42007464 -0.03612094  0.5942605   0.15325356
  0.40343767 -0.12373547  0.4462334   0.17758244  1.1960286  -0.27388442
 -0.43600464 -0.60301954]",1
"[-0.05695007 -0.01597155  0.62772006 -0.06151806  0.09747885 -0.14767365
  0.19250901  0.63702947 -0.45996287 -0.04154848  0.71634865  0.10137167
  0.3335637  -0.2188256   0.33546588  0.17839028  1.186744   -0.27461785
 -0.45933017 -0.5647056 ]",0
"[-0.14724773  0.11043396  0.60533005  0.07304979  0.25382343 -0.29834247
  0.36282185  0.61033326 -0.37333146 -0.1113098   0.8966334   0.07520727
  0.22586091 -0.19323893  0.19868407  0.24127024  1.3191522  -0.19482493
 -0.3394523  -0.7666549 ]",0
"[-0.04193293 -0.05284475  0.758997    0.0189383   0.11267701 -0.13986452
  0.2611658   0.63869613 -0.6280741  -0.03307798  0.7091719   0.14467968
  0.29327765 -0.22532697  0.4366468   0.07052426  1.2268399  -0.2541878
 -0.37223843 -0.6396617 ]",1
"[ 0.03160643  0.04923971  0.7008473   0.14679423  0.30981877 -0.11324221
  0.22443815  0.6273558  -0.38039088 -0.14151104  0.66660887  0.17204688
  0.31395727 -0.15850785  0.39887318  0.09184949  1.2201114  -0.21260925
 -0.3719933  -0.6083381 ]",1
"[-0.2548     -0.00285864  0.6157904   0.08674403  0.24900411  0.03867847
  0.3059143   0.8171609  -0.5831042   0.02600566  0.73669153 -0.03630271
  0.19483025 -0.20742951  0.23776042  0.10883413  1.2616707  -0.29235047
 -0.3414671  -0.72926295]",1
"[-4.2711880e-02 -5.6567580e-02  6.5964073e-01  1.7622273e-02
  1.8078268e-01 -1.9231999e-01  2.1790232e-01  6.4971131e-01
 -4.6725363e-01 -1.0378080e-01  6.5093780e-01  9.3589118e-04
  3.2649171e-01 -1.6334695e-01  3.6905614e-01  1.4640555e-01
  1.2507761e+00 -3.7744147e-01 -4.4998005e-01 -5.3864408e-01]",0
"[ 0.08872663 -0.08172885  0.6811751  -0.01471741  0.22290128 -0.1414089
  0.17911792  0.52094114 -0.48591152 -0.07330965  0.57408136  0.1127021
  0.4674832  -0.15599242  0.4950505   0.0288467   1.1475153  -0.38593557
 -0.54202646 -0.60002077]",1
"[-0.05218385 -0.05454841  0.61698776  0.00510429  0.22151046 -0.09644651
  0.25509456  0.6255692  -0.47854242 -0.02101471  0.63849676  0.08622901
  0.36916906 -0.15201092  0.3918935   0.1119059   1.2322297  -0.3268
 -0.4676097  -0.5917281 ]",0
"[ 0.1702017   0.1064271   0.63883704 -0.02212476  0.36618057 -0.05393662
  0.18833351  0.6238815  -0.37753332 -0.0754464   0.54866874  0.2064353
  0.42444304 -0.13062254  0.36052325  0.10563348  1.0642374  -0.33768213
 -0.46062234 -0.62238234]",0
"[-0.044296   -0.10876671  0.6713571  -0.03955981  0.27077767 -0.10717358
  0.31069374  0.67162323 -0.4905684  -0.05695821  0.671533    0.06776372
  0.38833368 -0.1305047   0.3626936   0.07793361  1.2030158  -0.29521224
 -0.44926435 -0.63209844]",1
"[-0.09577612 -0.03589806  0.62319654 -0.03076875  0.24491563 -0.10847554
  0.14538012  0.6585683  -0.44892392 -0.10053249  0.670599    0.08510797
  0.33630866 -0.17846113  0.33906543  0.11945671  1.2284279  -0.3313274
 -0.4297251  -0.57992435]",0
"[-1.81860268e-01 -1.13902881e-03  5.61152160e-01  1.25922099e-01
  1.53686181e-01 -1.08923495e-01  3.74892414e-01  7.56084800e-01
 -5.53326368e-01 -1.72939911e-01  7.55215049e-01  8.21156129e-02
  2.55126178e-01 -1.73278794e-01  2.91749150e-01  2.51254499e-01
  1.31608880e+00 -2.73057640e-01 -4.96535897e-01 -5.82580686e-01]",0
"[ 0.12285224 -0.00742181  0.6222024  -0.08742015  0.24342841 -0.0529331
  0.08787114  0.5860245  -0.39419875 -0.12890644  0.5458575   0.28126398
  0.37652606 -0.0976085   0.48587918  0.02149534  1.072392   -0.41591975
 -0.4883429  -0.548791  ]",1
"[-0.01644753  0.08012131  0.6466348   0.04655587  0.16413996 -0.203144
  0.2812896   0.6505072  -0.47888786 -0.10086074  0.655969    0.05060125
  0.27357626 -0.19172676  0.30632085  0.11914454  1.270587   -0.3758126
 -0.45389342 -0.56916696]",0
"[-0.1858742  -0.06543735  0.56017536  0.07440339  0.17086002 -0.08895642
  0.34520495  0.6536686  -0.54998094  0.01681779  0.7911629  -0.11613313
  0.33379117 -0.22422564  0.33685386  0.20670281  1.3069738  -0.3027001
 -0.4442217  -0.6371317 ]",0
"[-6.87447861e-02 -3.03385284e-04  6.87206626e-01 -7.41480198e-03
  2.00389072e-01 -7.16222823e-02  1.62104085e-01  6.74391329e-01
 -4.84795839e-01 -1.09219626e-01  6.92390084e-01  1.35629371e-01
  3.14696640e-01 -2.15231732e-01  3.19014817e-01  1.15171522e-01
  1.22872698e+00 -3.16027343e-01 -3.76543552e-01 -5.92383265e-01]",1
"[ 0.00576697 -0.0348619   0.70633537 -0.03769068  0.16231123 -0.11412311
  0.15933925  0.6068633  -0.45279932 -0.0393008   0.6483765   0.13650027
  0.3660746  -0.16128743  0.41186246  0.13615586  1.1374849  -0.29144117
 -0.43766725 -0.57236683]",0
"[ 0.00828221  0.01259625  0.6344215  -0.07610311  0.25151536 -0.07593954
  0.11576075  0.7205841  -0.405372   -0.03005283  0.6146621   0.19265582
  0.28244197 -0.14555255  0.33134618  0.12554027  1.0317874  -0.40405658
 -0.36512202 -0.58335555]",0
"[ 0.02369316  0.02634537  0.6883969  -0.02786512  0.18257973 -0.09364762
  0.12224165  0.69177544 -0.44642806 -0.11546201  0.596716    0.15985467
  0.35600993 -0.12760715  0.34715983  0.15772897  1.1534532  -0.32838723
 -0.41740394 -0.5465799 ]",0
"[-0.09487362 -0.06784765  0.50946873 -0.04321149  0.2712917  -0.10614014
  0.12668622  0.5703187  -0.24644613  0.05367341  0.69297826  0.10706801
  0.28212282 -0.17244482  0.43513873  0.12479822  1.174864   -0.31221545
 -0.34259936 -0.6308124 ]",1
"[-0.12874454 -0.04794313  0.65889937  0.02400194  0.15655912 -0.07331173
  0.25868848  0.7574823  -0.5508311  -0.05015888  0.69650173  0.09825753
  0.32397386 -0.13681576  0.29586765  0.17544739  1.2512496  -0.24821225
 -0.40139273 -0.6019656 ]",1
"[-0.15197577  0.04509678  0.6483359  -0.02544461  0.22149049 -0.07464617
  0.27084374  0.7324413  -0.5532858  -0.06208415  0.7272824   0.04818996
  0.3074615  -0.21357793  0.2445727   0.19320464  1.2586205  -0.22510615
 -0.420754   -0.6436765 ]",1
"[-0.16228506  0.15894516  0.5112806   0.12971394  0.45166445 -0.14975949
  0.5614225   0.651356   -0.41735408 -0.04595925  0.7324102  -0.13359548
  0.2173354  -0.20731623  0.2465566   0.32436663  1.4619361  -0.14493336
 -0.47203243 -0.7584541 ]",0
"[-0.08050863  0.04677429  0.64697534  0.00174201  0.179073   -0.19645223
  0.18502788  0.59480125 -0.5048636  -0.129308    0.7297066  -0.01100411
  0.29668725 -0.28410304  0.41129184  0.0710356   1.2617697  -0.36443987
 -0.49918094 -0.5696807 ]",0
"[-0.15757689 -0.06927715  0.61042494  0.02358233  0.23237936 -0.10471752
  0.2950122   0.74001896 -0.47555786 -0.07243524  0.6934047  -0.00715808
  0.31173477 -0.16758567  0.2747966   0.15585372  1.3136294  -0.3125374
 -0.3991222  -0.6217595 ]",0
"[-3.1681947e-04 -7.0363782e-02  6.4812136e-01 -8.9527056e-02
  2.0099039e-01 -1.3166387e-01  2.4182098e-01  6.4895838e-01
 -4.9055389e-01 -1.0316184e-01  6.6287279e-01  8.5874960e-02
  4.2625055e-01 -1.4404953e-01  3.4331864e-01  1.3453628e-01
  1.1978924e+00 -2.7404964e-01 -4.9121332e-01 -6.2987679e-01]",0
"[-0.09630615  0.04332589  0.5837914   0.01437832  0.26323897 -0.21372065
  0.25381726  0.5979146  -0.5334328  -0.09563757  0.78104717 -0.06905004
  0.31891623 -0.22795759  0.30735227  0.22845006  1.3937143  -0.19912818
 -0.50746614 -0.6379563 ]",0
"[ 0.09974379  0.06979323  0.6525229   0.09823885  0.3329701  -0.12967281
  0.31305456  0.6232701  -0.46282732 -0.14612618  0.625264    0.05773155
  0.2788905  -0.18538857  0.3199942   0.03183011  1.2281361  -0.39696273
 -0.44469482 -0.6440751 ]",1
"[-0.10375874  0.03461595  0.65428007 -0.00188801  0.19436572 -0.20008087
  0.2999389   0.60101837 -0.5088909  -0.0454673   0.7096989   0.02183812
  0.30335394 -0.22043943  0.30496812  0.1806941   1.3124526  -0.2617991
 -0.43404144 -0.6622344 ]",1
"[-0.13747056 -0.02480622  0.6668346  -0.00378941  0.20681849 -0.13837612
  0.20272635  0.7504363  -0.4822546  -0.05603575  0.70282793  0.05025234
  0.33421043 -0.21082985  0.24935736  0.11080897  1.2747042  -0.26204392
 -0.42606726 -0.58593506]",1
"[ 0.0199606  -0.07807482  0.6816164  -0.00677647  0.20186624 -0.13228132
  0.3074833   0.6999367  -0.43658292 -0.04642718  0.58590865  0.12323695
  0.397903   -0.05604988  0.36803064  0.09449205  1.2316128  -0.27816042
 -0.4240341  -0.6039638 ]",1
"[-0.17863916  0.15890536  0.49675098  0.0487305   0.46165478 -0.21012451
  0.29174843  0.6318718  -0.37455413 -0.01188281  0.83140963 -0.12752235
  0.20139393 -0.2749936   0.18851948  0.22906141  1.3604738  -0.23435812
 -0.3124114  -0.78965133]",0
"[ 0.01122234  0.0143467   0.5980244  -0.00125405  0.20474058 -0.03277646
  0.13287032  0.57538444 -0.45252705 -0.09399721  0.67248213  0.23522386
  0.404525   -0.1599641   0.43035886  0.18052123  1.1510103  -0.20871358
 -0.43771818 -0.5881122 ]",1
"[-0.04390256  0.03783148  0.6379712   0.13615486  0.22391988 -0.0540626
  0.28170633  0.640306   -0.4819553  -0.01566467  0.70212364  0.17627902
  0.365466   -0.13812053  0.33625254  0.16874318  1.1972365  -0.24831723
 -0.34843478 -0.6512377 ]",0
"[-0.02401285  0.03457817  0.6339795   0.11968342  0.24820445 -0.17244446
  0.3416412   0.6562822  -0.50947696 -0.07488007  0.671595    0.02554527
  0.36140484 -0.15205128  0.36553988  0.173627    1.2743341  -0.2868123
 -0.4367891  -0.588704  ]",0
"[ 0.04827313 -0.06752488  0.6741128  -0.02302061  0.26599956 -0.11929393
  0.20545852  0.5934704  -0.36595225 -0.02826728  0.5834474   0.1830429
  0.38916826 -0.1312404   0.42083305  0.12376201  1.1593678  -0.3176084
 -0.41950896 -0.6057395 ]",0
"[-0.00793662  0.03805681  0.6907935  -0.02727907  0.2614715  -0.16162254
  0.1918576   0.6662245  -0.4745501  -0.0846248   0.59661615  0.11081777
  0.35900164 -0.17111365  0.32860357  0.11498263  1.192116   -0.31142968
 -0.4232943  -0.59266686]",1
"[ 0.02883601 -0.02415693  0.6614213   0.01730458  0.15434587 -0.17369902
  0.2906048   0.53838867 -0.5453478  -0.08259391  0.7045205   0.04691078
  0.33495548 -0.24718884  0.40630516  0.16009176  1.269181   -0.3291775
 -0.49068266 -0.57419056]",1
"[-0.07255614 -0.0582253   0.6230742  -0.02587832  0.22806528 -0.18095095
  0.25148     0.5679389  -0.5466579  -0.01181585  0.73812973 -0.06911165
  0.34398568 -0.23528296  0.3586088   0.11719761  1.2900375  -0.3698881
 -0.47422495 -0.6057765 ]",0
"[-0.04598776  0.00933146  0.6553459   0.01020729  0.15935104 -0.09291791
  0.1575381   0.68131846 -0.42952102 -0.05789094  0.627089    0.20065239
  0.37513977 -0.13586457  0.3892352   0.13646813  1.196177   -0.27688757
 -0.40809116 -0.5153368 ]",0
